date,Ageing,Aids,Animal Welfare,Bird Flu,BSE,Coal Pits,EU,Countryside,Crime,Defence,Drug Abuse,Economy,Education,Farming,German Reunification,GM foods,Housing,Inflation/Prices,Inner Cities,Local Govt,Low Pay,Morality,NHS,Northern Ireland,Nuclear Power,Nuclear Weapons,Pensions,Fuel Prices,Environment,The Pound,Poverty/Inequality,Privatisation,Public Services,Immigration,Scots/Welsh Assembly,Taxation,Trade Unions,Transport,Tsunami,Unemployment
19740901,7,1,1,,,,7,1,15,5,4,52,13,,,,9,14,,2,6,7,27,,,1,10,7,3,1,11,1,6,29,1,6,,3,,28
19741001,4,1,1,,,,9,1,14,9,4,52,14,,,,11,13,,3,8,7,19,,,1,11,4,4,1,14,1,5,26,1,4,,3,,27
19771101,8,,1,,,,6,2,18,4,5,52,12,,,,9,14,,3,7,7,21,,,1,10,4,5,1,11,1,5,22,1,2,,2,,23
19780801,6,,1,,,,6,1,19,5,3,55,11,,,,11,17,,3,7,7,15,,,1,8,5,4,1,13,1,5,22,1,4,,2,,30
19790201,6,,1,,,,6,2,17,6,3,55,14,,,,10,16,,4,8,7,20,0,,,9,5,5,1,13,1,4,19,1,2,,4,,33
19790401,9,,1,,,,5,3,18,6,5,52,10,1,,,10,17,,4,8,6,19,,,1,9,6,6,2,11,1,5,21,1,2,1,4,,32
19800201,6,,1,,,,3,1,17,5,5,54,13,1,,,11,17,,5,8,8,20,0,,,8,7,2,1,12,2,5,20,1,4,,5,,34
19800401,6,,,,,,5,1,14,7,4,61,11,,,,8,15,,4,5,9,18,0,,1,8,4,3,2,10,1,6,23,1,4,,5,,35
19820901,6,,1,0,,,5,1,18,9,4,59,14,,,,7,14,,3,7,8,22,,,1,10,6,4,2,11,2,4,26,1,5,1,4,,34
19821001,4,1,,,,,8,1,14,7,3,58,11,,,,7,15,,3,6,7,16,,,,7,4,3,2,10,2,4,19,1,3,1,4,,37
19821101,7,1,1,,,,6,1,15,6,3,61,13,,,,6,19,,3,8,8,16,,,1,9,8,3,2,9,1,3,20,1,4,1,4,,34
19830301,6,1,2,,,,4,1,20,9,6,55,15,,,,8,18,,3,7,6,20,,,1,8,15,3,1,10,2,4,21,1,5,,3,,40
19830401,4,,1,,,,5,1,18,9,4,57,13,,,,6,12,,2,5,7,22,,,1,7,13,3,2,8,1,3,23,2,3,,4,,36
19830601,4,,1,,,,7,1,20,9,4,64,13,,,,6,12,,2,6,6,22,,,1,8,6,2,1,7,,4,24,2,2,,2,,38
19830701,5,,,,,,9,2,21,7,5,61,13,,,,8,12,,3,6,7,17,,,1,7,6,3,1,10,1,3,20,1,3,1,3,,33
19830801,4,,1,,,,7,2,19,8,5,66,15,,,,7,15,,2,6,7,17,,,1,10,8,4,2,10,1,5,22,1,4,1,3,,33
19830901,5,,1,,,,8,2,23,9,6,62,15,,,,6,15,,2,4,7,16,,,1,8,9,4,2,8,,3,23,,4,,2, ,32
19831001,3,,1,,,,4,1,24,10,5,68,16,,,,6,12,,3,4,5,21,1,,1,7,5,3,2,9,1,5,24,1,3,1,2,,30
19840101,5,,1,,,,3,1,29,13,7,59,16,,,,9,13,,2,7,11,17,0,,1,8,6,4,1,9,1,6,21,1,4,,2,,30
19840201,5,,1,,,,4,1,31,11,5,61,16,,,,6,15,,3,3,6,17,,,,9,5,3,2,8,1,4,23,,3,,2,,26
19840301,8,1,1,,,,4,1,17,13,3,57,15,,,,5,15,,1,5,6,19,,,1,10,7,5,1,8,1,5,27,,4,1,1,,29
19840401,6,,,,,,3,1,22,15,4,51,14,,,,8,14,,3,6,6,26,,,1,8,7,5,2,7,1,5,31,1,4,,2,,28
19840601,3,,1,,,,3,2,17,18,3,55,20,,,,8,11,,2,4,6,26,,,2,7,11,3,2,6,1,6,26,1,4,,3,,27
19840801,4,,1,,,,2,2,22,22,4,62,14,,,,5,16,,3,5,5,20,0,,2,9,9,4,1,7,1,6,17,,6,,3,,24
19840901,4,,,1,,,4,1,18,16,4,54,17,,,,6,18,,4,5,6,19,,,1,6,15,4,2,8,2,5,26,1,7,1,3,,25
19841001,,,1,1,,,3,1,23,12,5,60,16,,,,6,16,,3,5,5,19,,,1,6,8,5,3,6,2,6,25,,6,,2,,28
19841101,,,,2,,,4,,22,14,6,60,21,,,0,6,14,,4,5,7,19,1,,2,7,8,7,2,8,1,6,26,1,7,1,2,,27
19841201,,,,,,,3,1,18,15,5,61,21,,,,7,12,,4,6,6,18,,,1,9,4,4,2,9,1,6,25,1,4,1,2,,27
19850101,,1,1,,,,4,1,23,17,4,54,15,,,1,8,11,,3,5,6,18,0,,1,11,2,5,2,7,,6,27,,6,,1,,28
19850201,,,1,,,,2,1,23,16,6,59,18,1,,,5,11,,4,5,7,21,1,,1,10,3,6,2,8,1,6,27,,5,,2,,29
19850301,,,1,,,,2,1,24,12,5,57,18,,,,7,13,,3,5,6,19,,,1,9,4,4,,8,1,5,31,,5,,1,,26
19850401,,,1,,,,1,1,19,17,5,61,18,,,,6,12,,4,4,6,18,,,1,10,3,6,2,7,1,5,30,,4,1,2,,24
19850501,,,,,,,2,1,24,15,7,63,17,,,,6,10,,3,5,6,16,,,1,7,3,5,1,9,,3,28,,4,,1,,26
19850601,,,1,1,,,2,1,26,12,7,65,16,,,,6,8,,3,5,4,19,,,1,5,4,5,2,6,1,3,29,1,5,0,2,,21
19850701,,1,1,,,,6,1,20,11,5,71,23,,,,5,9,,4,5,6,22,,,2,10,6,5,3,6,1,5,38,1,7,,3,,22
19850801,,,,,,,3,1,25,11,7,55,21,,,,5,11,,4,4,8,24,,,1,7,7,5,2,6,,4,29,,6,,3,,24
19850901,,,,,,,4,1,25,14,8,55,19,,,,5,8,,4,5,8,20,,,1,7,4,6,2,7,1,4,33,0,5,,3,,21
19851001,,,,,,,2,1,25,19,4,48,14,,,,5,8,,3,5,9,17,0,,1,5,2,7,1,8,,4,29,1,4,0,2,,20
19851101,,0,,1,,,3,1,24,25,3,49,12,,,,5,9,,2,3,11,20,,,1,5,2,8,1,7,1,4,33,,3,,2,,27
19851201,,,,1,,,3,,26,15,4,52,14,0,,,5,10,,3,4,9,16,,,1,6,2,9,1,6,,2,24,,2,,1,,22
19860101,,,,4,,,2,,32,17,7,54,12,,,,5,9,,2,1,10,16,0,,,3,1,5,1,6,,3,25,,2,,1,,30
19860201,,,,6,,,2,,24,20,4,55,11,0,,,7,8,,2,4,6,24,0,,,4,4,8,1,6,,2,27,1,3,0,1,,25
19860301,,,,1,,,4,1,28,10,10,54,12,1,,,8,12,,6,3,11,16,,,2,5,4,9,1,7,1,5,25,1,4,0,2,,28
19860401,,,1,1,,,5,,30,7,5,59,12,,,,8,10,,4,3,14,13,,,1,3,1,8,2,6,,4,30,1,3,,2,,20
19860501,,,,1,,,1,1,28,9,5,65,13,,,,6,13,,2,3,8,15,0,,1,4,2,8,1,8,,3,29,,3,,1,,23
19860601,,,,,,,1,,32,10,4,67,11,,,0,8,12,,3,2,9,12,0,,1,3,1,7,2,5,1,3,25,1,2,0,2,,23
19860701,,,,,,,1,1,34,11,5,70,10,,,,6,13,,2,2,7,14,0,,1,3,2,6,3,5,1,3,21,,2,,2,,24
19860801,,,1,0,,,1,1,35,13,6,66,10,0,,,7,17,,2,3,7,12,0,,1,4,2,6,3,8,,1,22,,2,,2,,15
19860901,,,,0,,,2,,38,13,5,62,9,0,,,8,18,,2,3,8,13,,,1,4,3,7,2,6,,2,22,,3,,2,,15
19861001,,,,,,,1,1,33,10,6,58,12,,,,7,21,,2,4,7,18,,,0,4,4,6,2,8,1,3,27,,3,0,2,,14
19861101,,,,,,,1,1,40,12,7,55,12,,,,9,22,,3,4,7,17,0,,1,5,8,8,1,7,1,3,27,1,6,,1,,11
19861201,,1,1,1,,,3,1,47,15,7,41,12,0,,,13,26,,3,4,9,15,,,1,4,10,7,,6,,2,25,1,5,,2,,7
19870101,,1,1,,,,3,2,39,15,6,42,13,,,,11,23,,2,3,6,16,,,1,4,15,7,1,8,,2,26,,7,,2,,9
19870201,,1,1,,,,4,2,38,20,6,32,16,,,1,12,22,,2,4,6,19,,,1,7,16,9,1,7,1,3,30,,9,,2,,6
19870301,,1,1,,,,2,1,41,13,6,34,13,,,,15,21,,2,5,7,19,,,1,7,9,8,1,8,1,4,37,1,9,,2,,6
19870401,,1,1,,,,4,1,35,20,8,33,14,,,,13,11,,3,4,7,23,,,1,6,6,7,1,7,1,3,42,1,11,,2,,6
19870701,,,,,,,3,1,40,17,7,23,17,,,,10,11,,4,4,9,24,,,2,6,6,10,1,7,1,4,44,1,11,0,3,,6
19870801,,1,1,,,,3,1,50,16,8,18,17,,,,12,9,,3,4,10,25,,,1,6,4,7,1,5,,3,44,,8,,3,,6
19870901,,1,1,1,,,2,1,47,20,7,20,18,,,,9,8,,3,4,8,33,,,1,5,5,8,1,5,1,3,40,1,7,,4,0,9
19871001,,2,2,1,,,4,2,37,21,6,13,21,1,,,15,6,,2,4,8,33,,,2,6,6,10,1,6,1,4,46,,7,1,4,,7
19871101,,2,2,1,,,6,1,38,20,9,11,19,,,,12,5,,2,3,7,40,,,1,6,2,6,,5,,3,41,,8,,3,0,6
19871201,,1,1,1,,,4,1,41,22,7,10,17,1,,,11,4,,2,4,7,36,,,1,6,,7,0,3,1,3,43,,8,0,2,,8
19880101,,1,1,1,,,3,,55,25,8,9,19,1,,1,9,3,,2,2,9,26,,,2,5,1,8,-,6,,4,35,1,6,0,3,0,7
19880201,,,,,,,3,1,35,39,7,7,22,0,,,16,3,,2,3,8,30,,,2,6,1,9,,5,1,3,40,1,7,,3,,7
19880301,,1,1,1,,,4,2,35,27,6,10,22,,,,10,3,,3,2,7,37,,,2,8,1,13,,6,1,3,40,1,6,,3,,8
19880401,,,,,,,3,1,36,27,7,9,23,,,,11,3,,3,3,6,37,,,2,7,1,10,,5,1,3,38,1,6,,3,0,7
19880501,,1,1,,,,2,1,40,27,9,10,19,,,,10,5,,3,2,8,36,,,1,8,1,12,,5,1,4,36,,9,1,4,,8
19880601,,1,1,,,,7,2,37,36,11,14,22,,,1,8,7,,4,3,6,27,,,3,8,2,19,1,4,,3,25,,7,,2,,6
19880701,,1,1,,,,3,1,33,35,5,9,21,,,,7,4,,1,2,6,32,,,2,10,2,13,,5,1,3,38,1,9,,3,1,6
19880801,,1,1,,,,3,1,32,40,6,9,18,,,,6,4,,3,2,6,31,,,1,7,2,11,,5,1,3,38,,8,,2,1,6
19880901,,,,,,,3,2,30,37,5,8,20,1,,1,5,2,,2,2,5,38,,,3,7,1,8,,5,1,2,40,0,7,0,3,,6
19881001,,1,1,1,,,3,1,26,38,6,8,19,,,1,8,3,,3,2,4,32,,,2,7,3,10,1,4,,2,45,,7,,2,,5
19881101,,0,0,,,,3,1,37,36,4,9,20,,,,6,3,,2,1,5,35,,,2,10,6,10,,7,,3,38,1,7,,2,,6
19881201,,,,,,,3,2,41,25,5,8,19,,,1,7,2,,2,2,6,35,,,2,10,3,10,1,5,1,2,35,1,6,,3,,6
19890101,,,,,,,3,1,36,27,5,10,25,,,,5,3,,2,2,5,38,0,,1,20,4,12,,5,,2,41,,5,0,2,,6
19890201,,,,2,,,3,2,30,23,3,9,28,,,,6,2,,2,2,5,47,0,,1,12,5,11,,5,,3,35,,7,,3,,7
19890301,,,,1,,,3,2,26,29,5,9,28,0,,,6,2,,3,2,6,37,,,2,13,2,9,,8,,3,30,,8,,3,0,5
19890401,,,,,,,3,1,28,34,6,11,25,,,,6,2,,3,2,5,33,,,2,13,3,8,,6,,,30,1,7,,3,,9
19890501,,,,,,,4,2,36,26,7,10,28,,,,6,2,,3,2,7,30,,,2,11,4,9,,7,1,2,28,,7,,3,,7
19890601,,,,,,,3,1,34,41,7,13,27,,,1,4,2,,3,1,5,29,,,1,14,1,6,,4,1,2,25,,9,,3,,7
19890701,,1,1,,,,5,1,31,31,6,10,26,,,,6,2,,4,1,5,34,,,1,12,3,6,,6,,3,30,0,7,0,4,1,6
19890801,,,,,,,5,1,25,46,5,11,21,,,,5,3,,3,2,7,28,,,2,10,5,6,,6,,2,32,,8,0,4,,7
19890901,,,,,,,4,1,24,56,4,13,19,,,,6,2,,2,1,4,28,,,1,8,4,4,,7,,1,35,,4,,3,,7
19891001,,0,0,,,,7,1,25,58,3,10,20,,,,5,1,,2,2,5,29,,,1,8,2,7,,7,,2,32,,6,0,5,1,8
19891101,,,,,,,19,1,30,16,4,11,24,,,,6,2,,2,1,4,36,0,,1,11,1,7,,7,,2,33,,8,,5,1,8
19891201,,,,,,,9,1,40,14,7,11,26,,,,8,2,,3,1,10,36,,,1,14,2,6,,5,,3,27,,8,,4,,7
19900101,,,,,0,,5,2,29,24,6,12,30,1,,1,9,2,,3,2,6,44,,,1,13,2,4,,8,,3,33,,6,,4,,8
19900201,,,,,,,8,1,29,25,5,10,26,,,,7,2,,3,2,6,38,,,1,14,1,6,,7,1,3,40,,7,,4,,8
19900301,,,,,0,,7,2,26,34,5,10,24,,,1,8,2,,3,2,6,34,,,2,11,1,5,1,8,1,3,26,,8,0,4,3,7
19900401,,,,,,,6,1,30,40,5,10,25,,,,6,2,,2,2,6,33,,,2,13,2,4,,7,1,4,25,,9,,7,,6
19900501,,1,1,,,,9,1,27,47,6,10,22,,,1,5,2,,1,2,5,32,,,2,12,2,5,1,6,1,3,24,,6,0,6,,6
19900601,,0,0,,,,7,2,28,47,7,11,26,0,,,7,3,,2,1,4,36,,,2,20,1,3,1,5,,3,25,,9,0,4,,7
19900701,,,,,,,8,1,27,36,6,10,29,,,1,7,3,,3,2,5,34,,,1,15,2,4,1,4,,4,26,,8,,5,,8
19900801,,,,,,,9,,28,38,6,10,23,0,,1,6,4,,4,1,4,34,,,2,8,3,4,,3,1,2,30,,8,,6,,7
